job_id,source,job_title,company,location,location_final,description,skills,careers_required,date_posted,date_posted_norm,url,career_tag,soft_skills_detected,extraction_date,description_final,EURACE_skills,initial_skills
f0df6072b6f5b40460613fd6b383c34a60f6fbc9bf0c8952f8b75dc1ca51b606,jooble,Miembro del equipo de la parte trasera de la casa - Kitchen/Sawyer Heights,Chick-fil-A,"Houston, TX",united states,"&nbsp;...Chick-fil-A - Cocina inmediata para miembros del equipo <b>de la </b>parte trasera de la casa ¿Te apasiona crear comidas deliciosas en un ambiente amoroso y entusiasta?
 Únase a Chick-fil-A como miembro del equipo de la parte trasera de la casa y sea parte de un equipo dinámico...&nbsp;",,[],2025-05-17T00:00:00.0000000,2025-05-17,https://jooble.org/jdp/-1226502794393233699,,[],2025-06-11,Chick-fil-A - Cocina inmediata para miembros del equipo de la parte trasera de la casa ¿Te apasiona crear comidas deliciosas en un ambiente amoroso y entusiasta? Únase a Chick-fil-A como miembro del equipo de la parte trasera de la casa y sea parte de un equipo dinámico.,,
49ea9157cbed6c8a002ae5abde8a850d5e017e0338d54e2f9bae691fcd687ec9,jooble,Instalador y Soldador de Tuberia (Pipe Welder Fitter),"RK Mechanical, Inc.","Henderson, CO",united states,"Description

Descripción General <b>de la </b>Compañía RK  
 
Como una empresa familiar de...&nbsp;&nbsp;...planos básicos, diagramas, dibujos de <b>ingeniería,</b> especificaciones, símbolos de soldadura...&nbsp;&nbsp;...superintendente del taller con el seguimiento de la <b>producción </b>y garantizar que se cumplan los...&nbsp;",,[],2025-03-19T03:42:17.0430000,2025-03-19,https://jooble.org/jdp/4452023370690055366,,[],2025-06-11,"Description Descripción General de la Compañía RK Como una empresa familiar de. planos básicos, diagramas, dibujos de ingeniería, especificaciones, símbolos de soldadura. superintendente del taller con el seguimiento de la producción y garantizar que se cumplan los.",,
930f763732d923e67925d4607fc9f6be0e94896c1a0a066e741dcac295c10498,jooble,Área de producción de la cocina Lavaplatos/Utensilios,Chick-fil-A,"Ellisville, MO",united states,"&nbsp;...Tipo: Tiempo completo  Rango salarial: $16.00 a $17.00 por hora 
 Chick-fil-A <b>de </b>Ellisville, está buscando una persona centrada en <b>la </b>limpieza e higiene. 
 Algunas de las tareas y características del trabajo incluyen: 
 Mantener el área de la cocina limpia, organizada...&nbsp;",,[],2025-05-10T00:00:00.0000000,2025-05-10,https://jooble.org/jdp/5339474743794453766,,[],2025-06-11,"Tipo: Tiempo completo Rango salarial: $16. 00 a $17. 00 por hora Chick-fil-A de Ellisville, está buscando una persona centrada en la limpieza e higiene. Algunas de las tareas y características del trabajo incluyen: Mantener el área de la cocina limpia, organizada.",,
4cc2ba5bfdff8d590b4272155f63d945d402094011012349b92b90c9829c901c,jooble,Operadora de Maquina,Oldcastle Infrastructure,"Telford, PA",united states,"&nbsp;...este puesto desempeñará una amplia gama <b>de </b>funciones en un entorno de fabricación industrial...&nbsp;&nbsp;...á parte de un equipo responsable de <b>la producción </b>segura y eficiente de productos...&nbsp;&nbsp;...interpretar órdenes de trabajo e impresiones de <b>ingeniería </b>
 Preparar y envolver moldes, mezclar,...&nbsp;",,[],2025-05-21T17:08:37.5888785+00:00,2025-05-21,https://jooble.org/jdp/627223290027588213,,[],2025-06-11,"este puesto desempeñará una amplia gama de funciones en un entorno de fabricación industrial. á parte de un equipo responsable de la producción segura y eficiente de productos. interpretar órdenes de trabajo e impresiones de ingeniería Preparar y envolver moldes, mezclar,.",Trabajo en equipo,trabajo en equipo
830a7570198eec0717c70a65d3a5f5d2b6ca1e42bd79e5c2aa38405bad6a2750,jooble,Bridge Carpenter | Carpintero de puentes,HEI Civil - Colorado,"Denver, CO",united states,"&nbsp;...empresa líder en construcción civil pesada, estamos dedicados a dar forma al paisaje <b>de la </b>región frontal de Colorado y más allá. Con un enfoque implacable en seguridad, calidad y <b>producción,</b> abordamos proyectos diversos que van desde carreteras y puentes hasta...&nbsp;",,[],2025-05-18T07:10:57.8173442+00:00,2025-05-18,https://jooble.org/jdp/-6269492648580027268,,[],2025-06-11,"empresa líder en construcción civil pesada, estamos dedicados a dar forma al paisaje de la región frontal de Colorado y más allá. Con un enfoque implacable en seguridad, calidad y producción, abordamos proyectos diversos que van desde carreteras y puentes hasta.",,
2a9832fcbc7d9663fa6fa0f6277d4df6c63ba5d00f004e6738991f53338da4ec,jooble,Operador de Máquinas de Manufactura,5TH HQ,"Fort Lauderdale, FL",united states,"&nbsp;...Operador <b>de </b>Máquinas de Manufactura 
 Ubicación:  Davie, FL 
 Horario:  Tiempo completo (turnos...&nbsp;&nbsp;...en el manejo de maquinaria industrial o de <b>producción.</b> Buscamos personas responsables, con buena actitud y compromiso con <b>la </b>calidad y la seguridad. 
 Este puesto ofrece...&nbsp;",,[],2025-05-30T00:00:00.0000000,2025-05-30,https://jooble.org/jdp/-4631070777507014163,,[],2025-06-11,"Operador de Máquinas de Manufactura Ubicación: Davie, FL Horario: Tiempo completo (turnos. en el manejo de maquinaria industrial o de producción. Buscamos personas responsables, con buena actitud y compromiso con la calidad y la seguridad. Este puesto ofrece.",Ética profesional,compromiso
d0065d263da467a7b3ea125f01f8951dacee55a572ac5c96f0c115c5433c5bb4,jooble,Ensamblador de Producción,603 Manufacturing,"Hudson, NH",united states,"&nbsp;...Somos una empresa líder en <b>la </b>industria manufacturera, conocida por nuestro compromiso con la calidad y la innovación. Actualmente buscamos un Ensamblador <b>de Producción </b>dedicado para unirse a nuestro equipo. En este rol, será responsable de ensamblar partes de productos...&nbsp;",,[],2025-06-11T00:00:00.0000000,2025-06-11,https://jooble.org/jdp/1412610788937577423,,[],2025-06-11,"Somos una empresa líder en la industria manufacturera, conocida por nuestro compromiso con la calidad y la innovación. Actualmente buscamos un Ensamblador de Producción dedicado para unirse a nuestro equipo. En este rol, será responsable de ensamblar partes de productos.",Ética profesional,compromiso
5c22f32d3dac466c629562cd92d95c09f2ec474948890470a47231af2512df1d,jooble,Trabajador de Producción para Empresa de acabado de Aluminio/Metal,"AGS Capital, LLC","Indianapolis, IN",united states,&nbsp;...Superior Metal Technologies es una empresa <b>de </b>servicios completos de acabado de metal de...&nbsp;&nbsp;...estamos buscando trabajadores de <b>producción </b>anodizado hábil y dedicado para unirse a nuestro...&nbsp;&nbsp;...responsable de realizar una variedad de tareas en <b>la </b>línea de producción para garantizar el...&nbsp;,,[],2025-06-09T12:08:15.9770000,2025-06-09,https://jooble.org/jdp/-2578297444852556207,,[],2025-06-11,Superior Metal Technologies es una empresa de servicios completos de acabado de metal de. estamos buscando trabajadores de producción anodizado hábil y dedicado para unirse a nuestro. responsable de realizar una variedad de tareas en la línea de producción para garantizar el.,,
7a35984abf32f0ef0dbc430d8bb3c393d6cd51fc051b7e158d46bb32c05f7ef7,jooble,Trabajador de Producción,"Adecco US, Inc.","Casa Grande, AZ",united states,"&nbsp;...siempre dan grandes beneficios! Mientras trabajas en un trabajo <b>de </b>trabajador de <b>producción </b>para Adecco en Price Industries, ¡ganarás $14.00/hora +...&nbsp;&nbsp;...+ Generosos bonos de referidos
Requisitos:
+ Debe pasar <b>la </b>asignación básica de lectura de reglas y matemáticas
+ Estos...&nbsp;",,[],2025-04-04T00:00:00.0000000,2025-04-04,https://jooble.org/jdp/5617520090811541119,,[],2025-06-11,"siempre dan grandes beneficios! Mientras trabajas en un trabajo de trabajador de producción para Adecco en Price Industries, ¡ganarás $14. 00/hora +. + Generosos bonos de referidos Requisitos: + Debe pasar la asignación básica de lectura de reglas y matemáticas + Estos.",,
712bc5ce9f79dab2d1406a511dc89e22a09c45d3739ce3c7d4b478ee136ce232,jooble,Trabajador de Producción,Cornerstone Building Brands,"Orwigsburg, PA",united states,"&nbsp;...Sueldo base: $18.50 por hora 
 Turno diurno: <b>de </b>lunes a viernes, hora de inicio a las 5AM....&nbsp;&nbsp;...RESPONSABILIDADES 
 Los Trabajadores de <b>Producción </b>ayudan en el proceso de fabricación y...&nbsp;&nbsp;...Este puesto varía según las necesidades de <b>la </b>empresa y, a menudo, incluye operar maquinaria...&nbsp;",,[],2025-06-06T00:00:00.0000000,2025-06-06,https://jooble.org/jdp/2019596865718355631,,[],2025-06-11,"Sueldo base: $18. 50 por hora Turno diurno: de lunes a viernes, hora de inicio a las 5AM. RESPONSABILIDADES Los Trabajadores de Producción ayudan en el proceso de fabricación y. Este puesto varía según las necesidades de la empresa y, a menudo, incluye operar maquinaria.",,
